Price,Close,High,Low,Open,Volume
Ticker,RHM.DE,RHM.DE,RHM.DE,RHM.DE,RHM.DE
Date,,,,,
2024-04-11,524.3238525390625,527.4729568314872,515.8606910633292,517.0416126810095,368968
2024-04-12,534.5584716796875,539.4789287826593,524.7175574737439,529.0475236858549,449855
2024-04-15,543.0216064453125,548.9261546706639,530.4252489107304,541.0534237035288,429000
2024-04-16,534.7552490234375,539.8724758524648,525.1111060052683,535.5425100691211,403974
2024-04-17,523.3397827148438,531.9997748268753,503.8547854467302,531.4093440258482,516390
2024-04-18,502.28021240234375,521.3715783338774,487.91247287561356,521.3715783338774,791777
2024-04-19,495.9820556640625,503.461156160652,492.04569014291917,500.11525147409725,496451
2024-04-22,501.68975830078125,505.42929341857064,491.7504596897924,502.0834188665146,394196
2024-04-23,506.41339111328125,511.13707770458416,498.9343207840017,500.90250350898793,398292
2024-04-24,512.3179321289062,516.4511278064524,503.06750948924224,508.1847965155294,264447
2024-04-25,504.8388671875,511.5306764161378,490.76637276606255,511.3338461314958,391168
2024-04-26,516.0575561523438,516.0575561523438,499.7216028115847,504.8388901239209,302400
2024-04-29,516.64794921875,522.1588366514161,512.9084141705717,515.8606881661075,189819
2024-04-30,508.9720764160156,517.041637787137,505.4293113909477,514.6797944370917,202216
2024-05-02,504.2484436035156,509.9561615546774,497.5566042471657,508.1848090959266,286327
2024-05-03,528.0634155273438,528.0634155273438,502.870699984326,505.62614386181673,383071
2024-05-06,537.70751953125,538.101120019474,527.866606363139,528.4570371275588,223684
2024-05-07,520.3875122070312,541.8406923802655,514.8766244784804,540.2661701904428,391210
2024-05-08,526.2920532226562,532.1966014489333,523.7334396836045,524.5207007676073,165034
2024-05-09,533.1807250976562,533.3775553966153,524.5207325210257,525.3079936526877,152696
2024-05-10,527.276123046875,535.5425142515298,525.7016009432112,533.3775013108661,171612
2024-05-13,527.6697998046875,535.5425306930404,519.403408346249,534.3616090469535,237986
2024-05-14,513.302001953125,514.6797538092562,495.98201896723737,509.7592972718829,589539
2024-05-15,512.8045654296875,520.1672639647326,505.24280118421547,515.391448020526,314770
2024-05-16,510.8146667480469,521.1622584406085,509.22268752225415,516.784452207224,246892
2024-05-17,509.42169189453125,513.2025438685014,502.6559471946166,508.42672765254974,236832
2024-05-20,528.5250244140625,528.5250244140625,511.013617088969,511.6106320786624,239971
2024-05-21,524.3461303710938,532.7038538939332,517.9783352367594,526.9330129850323,203229
2024-05-22,519.371337890625,527.5300568766121,518.5753786371185,524.3461591347881,177640
2024-05-23,531.3109130859375,533.4998465962708,520.3663062620699,520.3663062620699,355638
2024-05-24,528.1270141601562,529.9179376727545,524.1471571420273,528.1270141601562,179069
2024-05-27,529.5199584960938,534.8927287303915,528.524994297765,530.9128719370767,115789
2024-05-28,520.9632568359375,536.0867255764767,519.570343323079,532.1068685777979,317008
2024-05-29,512.4065551757812,525.3410895782768,507.82971385288806,523.351161208662,298149
2024-05-30,513.9984741210938,516.983366678656,507.43173478557475,508.0287193698666,143892
2024-05-31,525.14208984375,528.1269824280015,514.3964886860037,514.5954936705128,363709
2024-06-03,532.3058471679688,534.6937855398404,526.5350669517069,528.7240003379567,246058
2024-06-04,514.396484375,531.5098805268452,514.396484375,531.3108755440038,316308
2024-06-05,520.9632568359375,524.7441695669212,517.1824048327524,519.3713383275854,118654
2024-06-06,521.1622314453125,528.3259857708148,518.9732980781042,523.15215982863,224455
2024-06-07,530.116943359375,530.5149533528256,517.580418027067,521.7592800471026,295761
2024-06-10,528.7239990234375,529.3209532510235,524.9430864894082,527.331024855343,127159
2024-06-11,514.7944946289062,531.111870858522,508.22769455823374,529.718957433442,415605
2024-06-12,511.01361083984375,518.1773655339682,499.07407028946795,517.3814062852429,355340
2024-06-13,503.451904296875,517.3814036252471,503.451904296875,512.6055874296504,227777
2024-06-14,476.786865234375,508.0287355952114,457.7830426048416,503.053914507056,977195
2024-06-17,483.5526123046875,486.8359820945303,474.4984318039805,482.35864309170915,280579
2024-06-18,483.5526123046875,483.5526123046875,483.5526123046875,483.5526123046875,0
2024-06-19,485.44305419921875,490.51737797519024,484.44808994369095,490.51737797519024,129307
2024-06-20,493.8007507324219,494.29823286306663,479.07529181089706,482.9556463571462,337407
2024-06-21,488.5274353027344,507.6307606006614,488.5274353027344,502.6559394672324,589348
2024-06-24,497.8800964355469,502.0589583623513,486.9354898656196,491.11435179242403,203473
2024-06-25,492.5072937011719,496.78562774331954,485.7415490847758,493.99974004572084,280021
2024-06-26,487.6319885253906,494.8952154573743,481.7617054807039,492.00982518428077,192918
2024-06-27,473.4039611816406,491.5123220337048,469.0261247099905,487.3334601866444,267860
2024-06-28,473.30450439453125,480.07024912787216,462.16089268372355,473.10549939959213,317912
2024-07-01,480.9656982421875,484.4480730148445,469.3246350776446,474.69743579696427,203425
2024-07-02,479.3737487792969,487.03498541452285,473.5034659573969,481.0652000978995,176868
2024-07-03,502.4569396972656,503.05392431226,486.83598903042474,487.6319786383835,379778
2024-07-04,512.6055908203125,515.7894885477028,508.82470847354904,510.01864734839614,229202
2024-07-05,488.12945556640625,513.2025358544662,487.8309480801338,507.6307604774963,326793
2024-07-08,494.4972229003906,509.0237067485138,489.820878868248,491.0148480912329,256652
2024-07-09,498.278076171875,504.6458715597024,492.5072957610425,495.49218846262454,184948
2024-07-10,498.67608642578125,501.06399451555643,489.9203829447406,498.27807644090313,175197
2024-07-11,508.02874755859375,512.4065841464829,492.0098172047297,500.46701325374937,286594
2024-07-12,506.4367980957031,511.2126143015372,503.6509103696164,508.82470619862016,172584
2024-07-15,512.8045654296875,517.9783306113645,507.8297141389512,508.6257037055838,230034
2024-07-16,510.8146667480469,512.2075802518427,503.45190705727583,512.2075802518427,157472
